title,description,year,url,datasource,filename
Abstracts in software engineering: part 3,,1977,https://dl.acm.org/citation.cfm?id=1010732,acm,01.htm
Abstracts in software engineering,,1983,https://dl.acm.org/citation.cfm?id=1010902,acm,01.htm
Abstracts in software engineering,,1982,https://dl.acm.org/citation.cfm?id=1010912,acm,01.htm
Abstracts in software engineering,,1981,https://dl.acm.org/citation.cfm?id=1010863,acm,01.htm
Abstracts in software engineering: part 8,,1979,https://dl.acm.org/citation.cfm?id=1010780,acm,01.htm
Abstracts in software engineering: part 6,,1978,https://dl.acm.org/citation.cfm?id=1010749,acm,01.htm
A note on the psychology of abstraction (PGN),,1979,https://dl.acm.org/citation.cfm?id=1010779,acm,01.htm
Abstracts in software engineering,,1983,https://dl.acm.org/citation.cfm?id=1010923,acm,01.htm
Abstracts in software engineering: part 6,,1978,https://dl.acm.org/citation.cfm?id=1010761,acm,01.htm
Abstracts in software engineering,,1984,https://dl.acm.org/citation.cfm?id=1012344,acm,01.htm
Abstracts in software engineering,,1983,https://dl.acm.org/citation.cfm?id=1010961,acm,01.htm
"Proceedings of the ACM Ada TEC ""Future Ada environment workshop""",,1985,https://dl.acm.org/citation.cfm?id=1012634,acm,01.htm
Abstracts in software engineering: part 5,,1978,https://dl.acm.org/citation.cfm?id=1010739,acm,01.htm
Abstracts in software engineering,,1984,https://dl.acm.org/citation.cfm?id=1010939,acm,01.htm
Abstracts in software engineering,,1980,https://dl.acm.org/citation.cfm?id=1010790,acm,01.htm
Abstracts in software engineering: part 2,,1977,https://dl.acm.org/citation.cfm?id=1010724,acm,01.htm
Abstracts in software engineering: part 9,,1979,https://dl.acm.org/citation.cfm?id=1010767,acm,01.htm
Abstracts in software engineering,,1982,https://dl.acm.org/citation.cfm?id=1010824,acm,01.htm
Abstracts in software engineering,,1976,https://dl.acm.org/citation.cfm?id=1010682,acm,01.htm
Abstracts in software engineering,,1985,https://dl.acm.org/citation.cfm?id=1012635,acm,01.htm
"Strengthening the ""Engineering"" in Software Engineering Education: A Software Engineering Bachelor of Engineering Program for the 21st Century","In the fall of 2015, Stevens Institute of Technology welcomed the first freshmen into a newly launched Software Engineering Undergraduate Program based largely on the most recent ACM and IEEE-CS guidelines for undergraduate software engineering programs. This is the first such program in the US that also has an ABET accredited general engineering curriculum. Students ...",2016,https://ieeexplore.ieee.org/document/7474475/,ieee,01.htm
Second IEE/BCS Conference: Software Engineering 88 (Conf. Publ. No.290),,1988,https://ieeexplore.ieee.org/document/196390/,ieee,01.htm
